Category,Symbol,Price,Change,Volume
Top Active Stocks,DSLNC,5.48,-0.31,18182171
Top Active Stocks,CSIL,6.8,0.42,15472514
Top Active Stocks,HASCOLNC,23.07,-0.40,13566901
Top Active Stocks,CNERGY,8.59,-0.24,12359973
Top Active Stocks,KEL,8.25,-0.21,11447401
Top Active Stocks,KOSM,5.74,-0.04,9908543
Top Active Stocks,YOUW,6.15,0.36,8135190
Top Active Stocks,BOP,33.25,-0.69,7513908
Top Active Stocks,PIAHCLA,25.72,0.46,5738728
Top Active Stocks,TPL,11.12,-0.11,5268720
Top Advancers,FIMM,220.0,20.00,1
Top Advancers,KPUS,1584.46,144.04,586
Top Advancers,MACFL,57.53,5.23,428463
Top Advancers,ASLPS,19.71,1.79,46
Top Advancers,SSMLNC,28.95,2.35,1
Top Advancers,ASIC,33.22,2.66,829
Top Advancers,JVDCPS,70.0,5.51,1722
Top Advancers,DIILXD,73.0,5.74,2
Top Advancers,AMBL,25.7,1.98,45360
Top Advancers,CSIL,6.8,0.42,15472514
Top Decliners,ANLNV,7.1,-0.90,2302
Top Decliners,HIRATNC,9.17,-1.02,1855020
Top Decliners,SHSML,351.47,-39.05,5888
Top Decliners,SPAC1,19.11,-2.12,585180
Top Decliners,TSMF,15.24,-1.69,149099
Top Decliners,JKSM,154.1,-16.90,235
Top Decliners,NAGC,67.5,-7.40,2574
Top Decliners,CFL,54.22,-5.77,323
Top Decliners,FILNC,140.0,-14.84,80
Top Decliners,CLVL,12.5,-1.28,21910
